名字,类型,城市,地区,地点,评分,评分人数,价格
香港城景国际(The Cityview),浪漫情侣,香港,油尖旺,窝打老道23号,4.5,8648.0,594.0
香港黄金海岸酒店(Hong Kong Gold Coast Hotel),海滨风光,香港,屯门,屯门 黄金海岸青山公路1号,4.7,6326.0,696.0
香港峰景轩(Summit View Kowloon),交通方便,香港,油尖旺,旺角 文福道5号,4.6,152.0,421.0
香港粤海酒店(GDH Hotel),浪漫情侣,香港,油尖旺,尖沙咀宝勒巷18号,4.4,9066.0,748.0
香港荃湾丝丽酒店(Silka Tsuen Wan Hong Kong),浪漫情侣,香港,荃湾,葵涌和宜合道119号,4.4,1110.0,370.0
香港悦品海景酒店(原观塘丽东酒店)(Hotel COZI Harbour view),海滨风光,香港,观塘,九龙官塘伟业街163號,4.4,1581.0,484.0
香港帝京酒店(Royal Plaza Hotel),休闲度假,香港,油尖旺,旺角太子道西193号,4.7,9309.0,1525.0
香港凯都酒店(Metro Winner Hotel),浪漫情侣,香港,油尖旺,九龙油麻地弥敦道476号凯都中心,4.5,3355.0,587.0
香港旺角帝盛酒店(Dorsett Mongkok Hong Kong),亲子酒店,香港,油尖旺,88号大角嘴道,4.6,2885.0,567.0
香港兰桂坊(九如坊)(酒店)(Lan Kwai Fong Hotel Kau U Fong),海滨风光,香港,中西区,中环九如坊3号,4.5,2139.0,1446.0
香港彩鸿酒店(Travelodge Kowloon),浪漫情侣,香港,油尖旺,九龙佐敦道西贡街23号,4.5,3136.0,454.0
香港遨舍卫兰轩(OZO Wesley Hong Kong),浪漫情侣,香港,湾仔,湾仔轩尼诗道22号,4.6,3283.0,871.0
香港汀兰居(Bay Bridge Hong Kong by Hotel G),海滨风光,香港,荃湾,油柑头青山公路123号,4.4,1334.0,574.0
香港连锁酒店(Hong Kong Motel),地铁周边,香港,油尖旺,九龙尖沙咀金马伦道22-24号东丽中心,4.0,2382.0,237.0
香港99号宝恒酒店(99 Bonham),商务出行,香港,中西区,上环文咸东街99号,4.5,297.0,1162.0
香港颐庭酒店(铜锣湾店)(Eco Tree Hotel Causeway Bay),其他,香港,东区,铜锣湾水星街15号,4.6,15.0,567.0
香港九龙诺富特酒店(Novotel Nathan Road Kowloon Hong Kong),休闲度假,香港,油尖旺,油麻地 弥敦道348号,4.6,3931.0,1307.0
香港大都酒店(Dadol Hotel),商务出行,香港,油尖旺,九龙尖沙咀金巴利道16号香槟大厦1字楼 (美丽华商场对面),4.1,356.0,401.0
香港丽悦酒店(Cosmo Hotel),亲子酒店,香港,湾仔,皇后大道东375-377号,4.4,1866.0,529.0
香港荃湾旭逸酒店(Hotel Ease Tsuen Wan),浪漫情侣,香港,葵青,葵涌圳边街15-19号,4.4,598.0,394.0
香港一零八馆(Hotel 108 Hong Kong),浪漫情侣,香港,九龙城,九龙旺角豉油街108号,4.6,725.0,737.0
香港油麻地王子酒店(Kings Hotel),浪漫情侣,香港,油尖旺,九龙油麻地庙街50号,4.2,1128.0,348.0
香港新式酒店(家庭旅馆)(Hong Kong New Style Hotel),地铁周边,香港,油尖旺,九龙旺角弥敦道603-609A号新兴大厦1603,4.5,1566.0,199.0
香港朗逸酒店(Largos Hotel),地铁周边,香港,油尖旺,佐敦 南京街30号,4.5,2823.0,622.0
香港云浦酒店(VP Hotel),浪漫情侣,香港,油尖旺,九龙荔枝角道149号,4.3,2226.0,298.0
香港铜锣湾星河酒店 (家庭旅馆)(Galaxy Hotel Causeway Bay),地铁周边,香港,其他,铜锣湾2-4京士顿街京士顿大厦B座6楼2室,4.0,861.0,254.0
香港TUVE酒店(Hotel TUVE),浪漫情侣,香港,东区,香港天后清风街16号,4.5,1236.0,1908.0
木的地酒店(Hotel Madera Hong Kong),浪漫情侣,香港,油尖旺,九龙佐敦长乐街1号,4.5,2626.0,871.0
香港金岛宾馆(Golden Island Hotel),地铁周边,香港,油尖旺,九龙弥敦道385号平安大厦7字楼1室,4.3,1855.0,99.0
香港旺角荟贤居(如心酒店集团管理)(Lodgewood by L‘hotel Mongkok Hong Kong),浪漫情侣,香港,油尖旺,香港九龙旺角广东道1131号,4.6,3923.0,581.0
香港客舍酒店(Hotel Hart),浪漫情侣,香港,九龙城,尖沙咀赫德道4号,4.4,392.0,349.0
香港星星宾馆(家庭旅馆)(Star Guesthouse),地铁周边,香港,油尖旺,尖沙咀弥敦道83-97号华源大厦8字楼B1室,4.6,804.0,326.0
香港季节酒店(家庭旅馆)(Seasons Hotel HK),地铁周边,香港,油尖旺,九龙尖沙咀乐道23号5楼,3.8,1881.0,224.0
香港上海湾红酒店(Hongkong Shanghai Red Hotel),地铁周边,香港,其他,九龙佐敦上海街152-154号,4.2,1826.0,225.0
香港麦当劳道贰号酒店(Two MacDonnell Road),亲子酒店,香港,中西区,中环麦当劳道2号,4.6,253.0,1686.0
香港颐庭酒店(Hong Kong Eco Tree Hotel),海滨风光,香港,中西区,西营盘德辅道西156-160号,4.6,1444.0,543.0
香港天天旅馆(家庭旅馆)(Sunrise Hotel),地铁周边,香港,油尖旺,弥敦道525-543宝宁大厦C座16楼16室,4.4,1093.0,229.0
香港威尼斯宾馆(美丽都大厦)(Venetian Hostel),地铁周边,香港,油尖旺,尖沙咀弥敦道58号美丽都大厦14字楼C座C1&F座F1室（前台位于13楼）于13楼C2室登记入住,4.5,4082.0,194.0
香港百乐宾馆酒店(Best Hotel(Hostel)),地铁周边,香港,其他,九龙佐敦弥敦道322-326A百乐大厦,4.3,1031.0,348.0
香港加州酒店(家庭旅馆)(California Hotel),地铁周边,香港,其他,尖沙咀弥敦道66-70号金冠大厦4楼,4.0,1477.0,234.0
香港金怡酒店(Jordan Comfort Inn),地铁周边,香港,九龙城,佐敦弥敦道240-252号立信大厦9字楼A室,4.2,1014.0,199.0
香港金门宾馆(KAM MUN GUEST HOUSE),地铁周边,香港,油尖旺,九龙旺角弥敦道607号新兴大厦2109室,4.6,1012.0,228.0
晋逸精品酒店 中环(Butterfly on Wellington Boutique Hotel),地铁周边,香港,中西区,中环威灵顿街122号,4.6,1034.0,2207.0
香港星网商务精品酒店(Wifi Boutique Hotel),浪漫情侣,香港,湾仔,湾仔 骆克道366号,4.4,1527.0,412.0
香港米易商务宾馆(M easy hotel),地铁周边,香港,油尖旺,油尖旺九龙旺角地铁站E1出口弥敦道607号新兴大厦14楼1416单位,4.1,846.0,218.0
晋逸时代精品酒店 铜锣湾(Butterfly on Morrison Boutique Hotel),地铁周边,香港,湾仔,摩利臣山道35-39号,4.6,1409.0,658.0
香港8天时尚精品连锁酒店(8Days Boutique Hotel),地铁周边,香港,油尖旺,九龙旺角弥敦道737号金轮大厦16字楼D室,4.1,572.0,219.0
香港哲维斯酒店(The Jervois),商务出行,香港,中西区,苏杭街89号,4.6,27.0,3159.0
香港丽骏酒店(Brighton Hotel Hong Kong),浪漫情侣,香港,湾仔,湾仔骆克道128号,4.5,2383.0,1152.0
香港新桥宾馆(EVER FORTUNE GUEST HOUSE),地铁周边,香港,油尖旺,九龙旺角弥敦道737号金轮大厦4字楼B室,4.4,153.0,278.0
香港美的假日酒店(Granduer Holiday Hotel),地铁周边,香港,油尖旺,香港旺角弥敦道 737号金轮大厦2楼,4.2,304.0,286.0
香港和平客栈(HK Peaceful Guesthouse),民宿,香港,其他,尖沙咀弥敦道58号美丽都大厦13楼B1室于13楼C2室登记入住,4.8,511.0,264.0
香港港兴宾馆(家庭旅馆)(Kong Hing Guest House),地铁周边,香港,油尖旺,九龙旺角弥敦道607号新兴大厦14楼17单位,4.3,783.0,366.0
香港港星宾馆(Hong Kong Star Guest House),印象好,香港,其他,油麻地弥敦道383-389号平安大楼3字楼8室,4.7,68.0,297.0
香港阿山龙祥旅馆(Ah Shan Hostel),地铁周边,香港,油尖旺,九龙旺角亚皆老街83号先施大厦14楼1406室（与花园街交叉口）,4.2,637.0,255.0
香港普特曼酒店(The Putman),地铁周边,香港,中西区,皇后大道中202号,4.6,28.0,2640.0
香港金库宾馆(Gold Keep Hostel),地铁周边,香港,油尖旺,九龙旺角地铁站D2出口亚皆老街83号先施大厦6楼617单位,3.9,506.0,245.0
马哥孛罗香港酒店(Marco Polo Hongkong Hotel),海滨风光,香港,油尖旺,九龙尖沙咀广东道3号海港城,4.6,14428.0,1760.0
香港皇家太平洋酒店(The Royal Pacific Hotel and Towers),海滨风光,香港,油尖旺,尖沙嘴 广东道33号,4.6,20974.0,1115.0
香港半岛酒店(The Peninsula Hong Kong),海滨风光,香港,油尖旺,尖沙咀梳士巴利道,4.8,3693.0,3862.0
香港柏宁铂尔曼酒店(The Park Lane Hong Kong a Pullman Hotel),休闲度假,香港,湾仔,铜锣湾告士打道310号,4.6,7171.0,1731.0
香港丽思卡尔顿酒店(The Ritz-Carlton Hong Kong),海滨风光,香港,油尖旺,九龙 柯士甸道西1号环球贸易广场,4.8,3553.0,3450.0
香港九龙酒店(The Kowloon Hotel),海滨风光,香港,油尖旺,尖沙嘴弥敦道19-21号,4.5,15384.0,759.0
香港W酒店(W Hong Kong),休闲度假,香港,油尖旺,九龙柯士甸道西一号港铁九龙站,4.7,3924.0,2342.0
九龙香格里拉大酒店(Kowloon Shangri-La),海滨风光,香港,油尖旺,尖沙嘴麽地道64号,4.7,8459.0,1936.0
奕居(The Upper House),海滨风光,香港,中西区,金钟道88号太古广场,4.8,1369.0,4356.0
香港美利酒店(The Murray Hong Kong a Niccolo Hotel),商务出行,香港,中西区,红棉路22号,4.7,575.0,2710.0
香港丽豪酒店(Regal Riverside Hotel),休闲度假,香港,沙田,沙田 大涌桥路34-36号,4.4,18514.0,569.0
富豪香港酒店(Regal Hongkong Hotel),休闲度假,香港,湾仔,香港铜锣湾 怡和街88号,4.5,10209.0,968.0
香港海汇酒店(Hotel VIC on the Harbour),海滨风光,香港,东区,北角邨里一号,4.6,298.0,950.0
香港康得思酒店(Cordis Hong Kong),休闲度假,香港,油尖旺,旺角 上海街555号,4.7,9334.0,1348.0
香港港威酒店-马哥孛罗(Gateway Hotel Marco Polo),休闲度假,香港,油尖旺,尖沙嘴 广东道13号海港城,4.7,10218.0,1988.0
香港逸东酒店(Eaton HK),休闲度假,香港,油尖旺,油麻地 弥敦道380号,4.6,6258.0,698.0
香港迪士尼乐园酒店(Disneyland Hotel),海滨风光,香港,离岛,大屿山香港迪士尼乐园度假区,4.7,8784.0,1612.0
千禧新世界香港酒店(New World Millennium Hong Kong Hotel),海滨风光,香港,油尖旺,尖沙嘴东部 麽地道72号,4.7,5815.0,1355.0
香港万丽海景酒店(Renaissance Harbour View Hotel Hong Kong),海滨风光,香港,湾仔,港湾道1号,4.7,3956.0,1723.0
香港洲际酒店(InterContinental Hong Kong),海滨风光,香港,油尖旺,尖沙咀梳士巴利道18号,4.7,4087.0,1932.0
香港沙田凯悦酒店(Hyatt Regency Hong Kong Sha Tin),海滨风光,香港,沙田,新界沙田 泽祥街18号,4.7,6492.0,997.0
香港帝苑酒店(The Royal Garden Hotel),海滨风光,香港,油尖旺,尖沙嘴东部 么地道69号,4.6,7209.0,991.0
香港港岛海逸君绰酒店(Harbour Grand Hong Kong),海滨风光,香港,东区,北角油街二十三号,4.5,4865.0,989.0
香港金域假日酒店(Holiday Inn Golden Mile),浪漫情侣,香港,油尖旺,尖沙嘴弥敦道50号,4.5,5308.0,1038.0
香港富豪机场酒店(Regal Airport Hotel Meeting & Conference Centre),休闲度假,香港,离岛,"赤腊角 香港机场畅达路9号(9 Cheong Tat Road,HK International Airport, Chek Lap Kok)",4.5,15617.0,1667.0
香港愉景湾酒店(Auberge Discovery Bay Hong Kong),海滨风光,香港,离岛,大屿山愉景湾海澄湖畔路88号,4.7,6926.0,676.0
香港JW万豪酒店(JW Marriott Hotel Hong Kong),海滨风光,香港,中西区,金钟 金钟道88号太古广场,4.7,2883.0,2759.0
迪士尼好莱坞酒店(Disney‘s Hollywood Hotel),海滨风光,香港,离岛,大屿山香港迪士尼乐园度假区,4.7,16186.0,1265.0
香港喜来登酒店(Sheraton Hong Kong Hotel & Towers),海滨风光,香港,油尖旺,弥敦道 20 号,4.6,7123.0,1500.0
香港嘉里酒店(Kerry Hotel Hong Kong),海滨风光,香港,九龙城,红磡湾红鸾道38号,4.7,3034.0,1742.0
香港太子酒店-马哥孛罗(Prince Hotel Marco Polo),海滨风光,香港,油尖旺,九龙 尖沙嘴广东道23号海港城,4.7,9948.0,3068.0
香港富豪东方酒店(Regal Oriental Hotel),休闲度假,香港,九龙城,九龙城沙浦道30-38号,4.3,7180.0,426.0
香港8度海逸酒店(Harbour Plaza 8 Degrees),休闲度假,香港,九龙城,九龙土瓜湾九龙城道199号,4.4,5861.0,465.0
香港尖沙咀凯悦酒店(Hyatt Regency Hong Kong Tsim Sha Tsui),海滨风光,香港,油尖旺,尖沙咀 河内道18号,4.6,2980.0,1529.0
香港君悦酒店(Grand Hyatt),海滨风光,香港,湾仔,港湾道1号,4.7,1579.0,2856.0
香港置地文华东方酒店(The Landmark Mandarin Oriental HK),休闲度假,香港,中西区,中环 皇后大道中15号置地广场,4.8,1285.0,4443.0
香港四季酒店(Four Seasons Hotel Hong Kong),海滨风光,香港,中西区,中环 金融街8号,4.8,3461.0,12926.0
香港九龙维景酒店(Metropark Hotel Kowloon),休闲度假,香港,油尖旺,旺角窝打老道75号,4.5,9528.0,548.0
香港百乐酒店(Park Hotel Hong Kong),亲子酒店,香港,油尖旺,尖沙嘴 漆咸道南61-65号,4.6,4712.0,676.0
香港如心铜锣湾海景酒店(L‘hotel Causeway Bay Harbour View Hong Kong),海滨风光,香港,东区,铜锣湾 英皇道18号,4.6,9712.0,678.0
香港港岛太平洋酒店(Island Pacific Hotel),海滨风光,香港,中西区,西环 干诺道西152号,4.6,4552.0,594.0
香港基督教青年会酒店(The Salisbury YMCA of Hong Kong),海滨风光,香港,油尖旺,尖沙嘴 梳士巴利道41号,4.7,3461.0,1008.0
香港逸兰精品酒店(Lanson Place Hotel),浪漫情侣,香港,湾仔,铜锣湾礼顿道133号,4.7,2053.0,1349.0
香港九龙海湾酒店(Kowloon Harbourfront Hotel),海滨风光,香港,油尖旺,九龙红磡红鸾道8号D座,4.6,5620.0,770.0
华丽酒店尖沙咀 (贝斯特韦斯特酒店)(Best Western Grand Hotel),浪漫情侣,香港,油尖旺,九龙尖沙咀柯士甸路廿三号,4.4,9128.0,517.0
香港帝国酒店(Imperial Hotel),浪漫情侣,香港,油尖旺,尖沙嘴弥敦道32-34号,4.1,5658.0,526.0
香港帝都酒店(Royal Park Hotel),休闲度假,香港,沙田,沙田 白鹤汀街8号,4.6,11733.0,1052.0
香港珀丽酒店(Rosedale Hotel Hong Kong),浪漫情侣,香港,湾仔,铜锣湾信德街8号,4.4,7342.0,457.0
香港Casa Deluxe酒店(Casa Deluxe Hotel),地铁周边,香港,油尖旺,九龙油麻地弥敦道483-485A号,4.5,8341.0,308.0
香港东隅(East Hong Kong),海滨风光,香港,东区,太古城道29号,4.7,4549.0,1408.0
香港富荟马头围酒店(iclub Ma Tau Wai Hotel),浪漫情侣,香港,九龙城,马头围下乡道8号,4.4,751.0,445.0
香港九龙东皇冠假日酒店(Crowne Plaza Hong Kong Kowloon East),休闲度假,香港,观塘,将军澳唐德街3号,4.6,4548.0,1132.0
英皇骏景酒店(香港湾仔店)(The Emperor Hotel),浪漫情侣,香港,湾仔,皇后大道东373号,4.5,1040.0,526.0
香港潘多拉酒店(Hotel Pandora),地铁周边,香港,油尖旺,香港九龙佐敦弥敦道321号金汉大厦九楼,3.5,5759.0,194.0
香港天际万豪酒店(Hong Kong SkyCity Marriott Hotel),海滨风光,香港,离岛,大屿山 香港国际机场航天城东路一号,4.6,5474.0,1544.0
香港逸酒店(Hotel SAV),休闲度假,香港,九龙城,红磡芜湖街83号,4.5,6769.0,509.0
香港富荟炮台山酒店(iclub Fortress Hill Hotel),浪漫情侣,香港,东区,北角麥連街18號,4.5,6441.0,516.0
香港龙堡国际(B P International),海滨风光,香港,油尖旺,尖沙咀柯士甸道8号,4.5,12173.0,1278.0
香港华美粤海酒店(The Wharney Guang Dong Hotel Hong Kong),休闲度假,香港,湾仔,骆克道57-73号,4.4,4620.0,469.0
香港九龙贝尔特酒店(Pentahotel Hong Kong Kowloon),休闲度假,香港,九龙城,九龙新蒲岗六合街十九号,4.6,5788.0,623.0
香港君怡酒店(Kimberley Hotel),浪漫情侣,香港,油尖旺,尖沙嘴金巴利道28号,4.4,6438.0,589.0
香港华大海景酒店(Grand View Hotel),海滨风光,香港,东区,北角春秧街88号,4.2,1117.0,331.0
香港观塘帝盛酒店(Dorsett Kwun Tong Hong Kong),浪漫情侣,香港,观塘,鸿图道84号,4.5,4696.0,595.0
香港粤华酒店(The South China Hotel),浪漫情侣,香港,东区,北角渣华道67-75号,4.2,3875.0,407.0
香港远东丝丽酒店(Silka Far East Hotel),浪漫情侣,香港,荃湾,九龙青山公路(荃湾段)135-143号,4.3,4258.0,225.0
香港明爱白英奇宾馆(Caritas Bianchi Lodge),地铁周边,香港,其他,香港九龙油麻地石壁道四号,4.6,2413.0,492.0
香港第二十一威菲路酒店(Twenty One Whitfield),地铁周边,香港,湾仔,威菲路道21号,3.6,444.0,1099.0
香港六国酒店(Gloucester Luk Kwok Hong Kong),商务出行,香港,湾仔,湾仔告士打道七十二号,4.6,1408.0,1006.0
香港天一旅舍金銮店,民宿,香港,其他,香港油尖旺区九龙尖沙咀弥敦道80号金銮大厦15字楼A室,4.6,823.0,181.0
香港悦品天秀酒店(Hotel COZi Wetland HongKong),浪漫情侣,香港,元朗,天水围天秀路8号,4.5,1200.0,425.0
香港九龙珀丽酒店(Rosedale Hotel Kowloon),浪漫情侣,香港,油尖旺,九龙大角咀道86号,4.5,7460.0,585.0
香港园景轩(Garden View Hong Kong),休闲度假,香港,中西区,中环麦当劳道一号,4.5,3959.0,614.0
香港九龙海逸君绰酒店(Harbour Grand Kowloon),海滨风光,香港,九龙城,九龙 红磡黄埔花园德丰街20号,4.7,3433.0,1452.0
香港邮轮酒店(CRUISE HOTEL),亲子酒店,香港,九龙城,土瓜湾炮仗街188号,4.1,1776.0,269.0
香港九龙东智选假日酒店(Holiday Inn Express Hong Kong Kowloon East),海滨风光,香港,观塘,将军澳唐德街3号,4.6,3983.0,736.0
帝乐文娜公馆(The Luxe Manor),浪漫情侣,香港,油尖旺,尖沙嘴 金巴利道39号,4.6,1824.0,833.0
香港雅舍酒店(家庭旅馆)(JASCHAHOTEL),地铁周边,香港,油尖旺,海防道53-55号海防大厦5楼508室,4.4,921.0,297.0
奥华·时尚精品酒店 - 南岸(Ovolo Southside – 64 Wong Chuk Hang Road),浪漫情侣,香港,南区,香港仔黄竹坑道64号,4.4,1236.0,553.0
香港华丽铜锣湾酒店(原香港华丽精品酒店)(Best Western Hotel Causeway Bay),浪漫情侣,香港,湾仔,铜锣湾坚拿道西祥和里,4.2,5707.0,309.0
香港铜锣湾智选假日酒店(Holiday Inn Express Hong Kong Causeway Bay),浪漫情侣,香港,湾仔,铜锣湾 霎东街33号,4.5,4550.0,774.0
香港诺富特世纪酒店(Novotel Century Hong Kong),休闲度假,香港,湾仔,谢斐道238号,4.6,3038.0,1307.0
香港君立酒店(Camlux Hotel),休闲度假,香港,观塘,九龙湾宏光道15号,4.6,896.0,654.0
香港漢口酒店旺角地铁站店,地铁周边,香港,其他,九龍旺角黑布街92号全座(旺角中旅行社背面),4.1,590.0,287.0
香港华丽都会酒店(Grand City Hotel),海滨风光,香港,中西区,皇后大道西338号,4.5,4292.0,396.0
香港比比旺角宾馆(家庭旅馆)(B&B Mongkok Hotel),地铁周边,香港,油尖旺,弥敦道737-741号金轮大厦16楼ABC座,4.6,962.0,216.0
香港宝御酒店(Hotel Pravo),浪漫情侣,香港,油尖旺,九龙尖沙咀北京道10号,4.5,2631.0,766.0
香港木棉花公寓式酒店(Apartment Kapok),酒店公寓,香港,湾仔,湾仔港湾道28号(湾景中心A座),4.3,1182.0,835.0
香港中环荷李活道彩鸿酒店(原晋逸好莱坞精品酒店)(Travelodge Central Hollywood Road),商务出行,香港,中西区,香港中环荷李活道263号,4.4,840.0,468.0
香港屯门贝尔特酒店(pentahotel Hong Kong Tuen Mun),浪漫情侣,香港,屯门,新界屯门震寰路六号,4.5,998.0,582.0
香港逸林酒店(Noblepark Hotel Hong Kong),浪漫情侣,香港,油尖旺,九龙油麻地茂林街2号,4.2,3235.0,318.0
香港沙田万怡酒店(Courtyard by Marriott Hong Kong Sha Tin),休闲度假,香港,沙田,安平街1号,4.6,2883.0,774.0
香港伟晴轩(West Hotel),浪漫情侣,香港,油尖旺,九龙油麻地佐敦道伟晴街39号,4.4,4886.0,771.0
香港富荟上环酒店(iclub Sheung Wan Hotel),浪漫情侣,香港,中西区,上环文咸东街138号,4.5,4373.0,596.0
圣地亚哥酒店(San Diego Hotel),浪漫情侣,香港,油尖旺,佐敦吴松街169-189号,4.5,3466.0,712.0
香港美庭旅馆(CINDY HOSTOL),地铁周边,香港,油尖旺,九龙尖沙咀弥敦道80号金銮大厦12楼D,4.7,864.0,350.0
香港My Inn美意旅馆,地铁周边,香港,油尖旺,九龙尖沙咀弥敦道101号海防大厦1楼106-107室,4.6,550.0,470.0
最佳盛品酒店(香港尖沙咀店)(原九龙华美达酒店)(Best Western Plus Hotel Kowloon),浪漫情侣,香港,油尖旺,尖沙嘴漆咸道南73-75号,4.2,4027.0,480.0
香港遨凯酒店(The Olympian Hong Kong),海滨风光,香港,九龙城,"18HoiFaiRoad,TaiKokTsui,Kowloon九龙大角咀海辉道18号",4.7,631.0,1403.0
香港中环石板街酒店(The Pottinger Hong Kong),地铁周边,香港,中西区,中环皇后大道中74号（与士丹利街21号交叉口）,4.5,473.0,2352.0
香港旺角希尔顿花园酒店(Hilton Garden Inn Hong Kong Mongkok),浪漫情侣,香港,油尖旺,旺角豉油街2号,4.5,2737.0,1161.0
宜必思香港中上环酒店(ibis Hong Kong Central and Sheung Wan hotel),海滨风光,香港,中西区,香港上环德辅道西28号,4.6,3315.0,784.0
香港问月酒店(Mira Moon Hong Kong),浪漫情侣,香港,湾仔,谢斐道388号,4.5,1044.0,1282.0
帆船精品酒店(VELA BOUTIQUE HOTEL),浪漫情侣,香港,湾仔,摩理臣山道84-86号,4.2,2063.0,413.0
铜锣湾迷你精品酒店(Mini Hotel Causeway Bay),浪漫情侣,香港,湾仔,铜锣湾新会道8号,4.3,4882.0,368.0
香港今旅酒店(Hotel Jen Hong Kong),海滨风光,香港,中西区,香港西环 皇后大道西508号,4.6,2463.0,871.0
香港怡景酒店(Chelsea Hotel),地铁周边,香港,油尖旺,香港九龙尖沙咀河内道8号A,4.2,1240.0,385.0
工業家酒店(IND Hotel),其他,香港,观塘,九龙观塘观塘道326号,4.2,6.0,448.0
香港铜锣湾维景酒店(Metropark Hotel Causeway Bay Hong Kong),海滨风光,香港,东区,铜锣湾 铜锣湾道148号,4.6,3168.0,950.0
香港苏豪智选假日酒店(Holiday Inn Express Hong Kong Soho),海滨风光,香港,中西区,上环苏杭街83号,4.6,2036.0,658.0
香港盛世酒店(Inn Hotel Hong Kong),海滨风光,香港,油尖旺,九龙旺角砵兰街60号,4.6,4131.0,536.0
香港万怡酒店(Courtyard by Marriott Hong Kong),海滨风光,香港,中西区,西环 干诺道西167号,4.7,1448.0,1161.0
香港红茶馆酒店(红磡温思路街)(Bridal Tea House Hotel (Hung Hom Winslow Street)),浪漫情侣,香港,九龙城,九龙紅磡温思劳街57A-61号,4.0,2559.0,225.0
香港加尔文青年旅舍(HK HOSTEL),青年旅舍,香港,油尖旺,佐敦道13-15号华丰大厦7楼A室,4.2,1480.0,70.0
香港皇后酒店,地铁周边,香港,其他,香港西环皇后大道西199号,4.3,1144.0,348.0
香港港岛英迪格酒店(Hotel Indigo Hong Kong Island),地铁周边,香港,湾仔,皇后大道东246号,4.6,292.0,1662.0
香港C酒店(Casa Hotel),浪漫情侣,香港,油尖旺,九龙油麻地弥敦道487-489号,4.3,4986.0,334.0
香港华大盛品酒店(BEST WESTERN PLUS Hotel Hong Kong),浪漫情侣,香港,中西区,西环德辅道西308号,4.3,3498.0,528.0
香港湾仔睿景酒店(原湾仔维景酒店)(Kew Green Hotel Wanchai Hong Kong),商务出行,香港,湾仔,轩尼诗道41-49号,4.6,2493.0,766.0
香港鸣人宾馆(Naruto Inn),地铁周边,香港,油尖旺,尖沙咀弥敦道83-97号华源大厦10F B4室,4.8,921.0,190.0
香港永倫800酒店(WINLAND800HOTEL),其他,香港,葵青,新界青衣路一号,3.4,3098.0,196.0
