Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_OUT010,Outlet_OUT013,Outlet_OUT017,Outlet_OUT018,Outlet_OUT019,Outlet_OUT027,Outlet_OUT035,Outlet_OUT045,Outlet_OUT046,Outlet_OUT049
FDP49,0.2646621018160166,1,0.22552962628676826,2,0.10641583304470661,OUT046,1997,2,0,1,1547.3192,False,False,False,False,False,False,False,False,True,False
NCB42,0.43137838642453114,0,0.01779953667755976,8,0.3567901989147635,OUT018,2009,1,2,2,1621.8888,False,False,False,True,False,False,False,False,False,False
FDP49,0.2646621018160166,1,0.2258879298685701,2,0.09792681104795281,OUT049,1999,1,0,1,718.3982,False,False,False,False,False,False,False,False,False,True
DRI11,0.22060136945519498,0,0.1073333969054264,7,0.34802188809431645,OUT027,1985,1,2,3,2303.668,False,False,False,False,False,True,False,False,False,False
FDU02,0.5236677582613873,0,0.3352526131198276,4,0.845698442773805,OUT035,2004,2,1,1,2748.4224,False,False,False,False,False,False,True,False,False,False
FDN22,0.8511461744566837,1,0.4488986030403617,13,0.9320199118499957,OUT013,1987,0,2,1,3775.086,False,True,False,False,False,False,False,False,False,False
FDW12,0.2238761536171479,1,0.11133886987209224,0,0.48070954641457664,OUT027,1985,1,2,3,4064.0432,False,False,False,False,False,True,False,False,False,False
NCB30,0.5980946710330455,0,0.0777644704227775,9,0.7012713159342339,OUT035,2004,2,1,1,1587.2672,False,False,False,False,False,False,True,False,False,False
FDC37,0.6516820482286394,0,0.1868516113968043,0,0.32429676941778895,OUT019,1985,2,0,0,214.3876,False,False,False,False,True,False,False,False,False,False
FDR28,0.5534385233700505,1,0.07845406639899467,5,0.567622700323941,OUT046,1997,2,0,1,4078.025,False,False,False,False,False,False,False,False,True,False
NCD06,0.5028282226853229,0,0.3268159533123293,9,0.06203777275227676,OUT017,2007,2,1,1,838.908,False,False,True,False,False,False,False,False,False,False
FDV10,0.18398332837153913,1,0.21752952326334407,13,0.0467796046153115,OUT035,2004,2,1,1,1065.28,False,False,False,False,False,False,True,False,False,False
DRJ59,0.4224471568919321,0,0.05564499594651292,7,0.033219240877696954,OUT013,1987,0,2,1,308.9312,False,True,False,False,False,False,False,False,False,False
FDE51,0.08157189639773738,1,0.5210952155011209,4,0.0603510040815218,OUT010,1998,2,2,0,178.4344,True,False,False,False,False,False,False,False,False,False
FDC14,0.5921405180113128,1,0.23596506470855738,3,0.052442631189345945,OUT019,1985,2,0,0,125.8362,False,False,False,False,True,False,False,False,False,False
FDV38,0.8749627865436143,0,0.5482640787164488,4,0.10401428872182494,OUT010,1998,2,2,0,163.7868,True,False,False,False,False,False,False,False,False,False
NCS17,0.8362607919023519,0,0.26448052916275133,8,0.2765451717838492,OUT018,2009,1,2,2,2741.7644,False,False,False,True,False,False,False,False,False,False
FDP33,0.8422149449240846,0,0.3047196159504759,13,0.95661600418339,OUT018,2009,1,2,2,3068.0064,False,False,False,True,False,False,False,False,False,False
FDO23,0.791604644239357,0,0.46225920068339016,1,0.26253828548920544,OUT045,2002,2,1,1,2174.5028,False,False,False,False,False,False,False,True,False,False
DRH01,0.7707651086632927,0,0.32038012431692797,14,0.6094430182887489,OUT046,1997,2,0,1,2085.2856,False,False,False,False,False,False,False,False,True,False
NCX29,0.3242036320333432,0,0.292292462769028,8,0.48990230833486137,OUT049,1999,1,0,1,3791.0652,False,False,False,False,False,False,False,False,False,True
FDV20,0.9315272402500745,1,0.19343762259132882,6,0.4107744364987199,OUT027,1985,1,2,3,2797.6916,False,False,False,False,False,True,False,False,False,False
DRZ11,0.2557308722834177,1,0.3694794218470076,14,0.38730653518869396,OUT018,2009,1,2,2,1609.9044,False,False,False,True,False,False,False,False,False,False
FDX10,0.10896100029770761,1,0.40133581890112585,13,0.024182676962152566,OUT027,1985,1,2,3,388.1614,False,False,False,False,False,True,False,False,False,False
FDB34,0.6367966656743078,0,0.08048528252324698,13,0.23909245563637108,OUT027,1985,1,2,3,2180.495,False,False,False,False,False,True,False,False,False,False
FDU02,0.5236677582613873,0,0.3353153157802381,4,0.8461228938736426,OUT046,1997,2,0,1,3435.528,False,False,False,False,False,False,False,False,True,False
FDK43,0.3122953259898779,0,0.08165759258988624,10,0.4020061256782729,OUT013,1987,0,2,1,2150.534,False,True,False,False,False,False,False,False,False,False
FDA46,0.5385531408157189,0,0.38448833930314785,13,0.6860131477972686,OUT049,1999,1,0,1,2527.3768,False,False,False,False,False,False,False,False,False,True
FDC02,1.0,0,0.2255758943880246,3,0.9704556567446978,OUT018,2009,1,2,2,6768.5228,False,False,False,True,False,False,False,False,False,False
FDL50,0.45221792200059546,1,0.1349509310070671,3,0.40413941690605704,OUT013,1987,0,2,1,373.5138,False,True,False,False,False,False,False,False,False,False
FDM39,0.11104495385531404,0,0.29297269787701535,4,0.6231375085739123,OUT010,1998,2,2,0,358.2004,True,False,False,False,False,False,False,False,False,False
NCP05,0.8958023221196785,0,0.053548086725251846,8,0.5178829737383616,OUT045,2002,2,1,1,2428.8384,False,False,False,False,False,False,False,True,False,False
FDV49,0.3242036320333432,0,0.07839528848691783,3,0.9929294935789039,OUT045,2002,2,1,1,5815.0972,False,False,False,False,False,False,False,True,False,False
FDL12,0.6725215838047036,1,0.39663715311162784,0,0.12449999660439123,OUT046,1997,2,0,1,2576.646,False,False,False,False,False,False,False,False,True,False
FDS02,0.33581423042572206,1,0.7984372309248908,4,0.7028460295146317,OUT019,1985,2,0,0,780.3176,False,False,False,False,True,False,False,False,False,False
NCL17,0.16880023816612083,0,0.22115947625210222,8,0.47789458672045315,OUT046,1997,2,0,1,3134.5864,False,False,False,False,False,False,False,False,True,False
FDM40,0.33581423042572195,0,0.5159862243372266,5,0.46785292260049305,OUT013,1987,0,2,1,850.8924,False,True,False,False,False,False,False,False,False,False
FDR13,0.31795177136052394,1,0.08817602145043703,3,0.36400586761200415,OUT013,1987,0,2,1,810.9444,False,True,False,False,False,False,False,False,False,False
FDA43,0.3774933015778505,0,0.2120025046518911,6,0.7007237740154433,OUT017,2007,2,1,1,3121.2704,False,False,True,False,False,False,False,False,False,False
NCP18,0.45221792200059546,0,0.08839470679943644,9,0.5101087273937345,OUT017,2007,2,1,1,4815.0656,False,False,True,False,False,False,False,False,False,False
FDK21,0.19946412622804405,0,0.02294787113482329,13,0.9242456655053686,OUT018,2009,1,2,2,6258.52,False,False,False,True,False,False,False,False,False,False
NCX54,0.2762727002083954,0,0.15501202262665517,9,0.3177958763726749,OUT045,2002,2,1,1,2117.244,False,False,False,False,False,False,False,True,False,False
DRK35,0.22685323012801428,0,0.23508817972646467,7,0.02869544105562688,OUT049,1999,1,0,1,796.9626,False,False,False,False,False,False,False,False,False,True
FDY21,0.6278654361417089,0,0.5577975750885841,13,0.6927933296660759,OUT046,1997,2,0,1,4910.275,False,False,False,False,False,False,False,False,True,False
FDI26,0.08246501935099732,0,0.1987195817026192,3,0.6313472417469729,OUT019,1985,2,0,0,892.172,False,False,False,False,True,False,False,False,False,False
FDM20,0.3242036320333432,0,0.11509798243645844,6,0.9152201373184199,OUT018,2009,1,2,2,3185.1872,False,False,False,True,False,False,False,False,False,False
FDV27,0.20333432569217025,1,0.12739219985536687,10,0.2379532288844067,OUT045,2002,2,1,1,1062.6168,False,False,False,False,False,False,False,True,False,False
FDF09,0.09883894016076211,0,0.03013283416899766,6,0.029689505531446725,OUT027,1985,1,2,3,484.7024,False,False,False,False,False,True,False,False,False,False
FDY40,0.6516820482286394,1,0.48659857084464325,5,0.0839530319390964,OUT019,1985,2,0,0,147.8076,False,False,False,False,True,False,False,False,False,False
FDY45,0.7707651086632927,0,0.07886784132573875,13,0.9530862688371398,OUT027,1985,1,2,3,2543.356,False,False,False,False,False,True,False,False,False,False
FDC46,0.782673414706758,0,0.6228063753182405,13,0.6542344939524208,OUT010,1998,2,2,0,184.4266,True,False,False,False,False,False,False,False,False,False
FDH19,0.8809169395653469,0,0.10334680499075574,10,0.5996806429924821,OUT035,2004,2,1,1,4865.6664,False,False,False,False,False,False,True,False,False,False
FDZ03,0.5415302173265852,1,0.25826218886885777,4,0.6567701648228511,OUT045,2002,2,1,1,1118.544,False,False,False,False,False,False,False,True,False,False
DRH37,0.7767192616850254,0,0.1329756996205943,14,0.5669079246718144,OUT045,2002,2,1,1,2302.3364,False,False,False,False,False,False,False,True,False,False
NCI17,0.2435248585888657,0,0.46525579623580504,8,0.2739874294562272,OUT046,1997,2,0,1,2027.361,False,False,False,False,False,False,False,False,True,False
FDJ58,0.657636201250372,1,0.34431130058734843,13,0.5895048523249734,OUT046,1997,2,0,1,3435.528,False,False,False,False,False,False,False,False,True,False
FDL12,0.6725215838047036,1,0.3963153004253938,0,0.11855768120666357,OUT013,1987,0,2,1,599.22,False,True,False,False,False,False,False,False,False,False
FDH35,0.8154212563262877,0,0.18868635273093662,15,0.5664834735719767,OUT045,2002,2,1,1,4604.6728,False,False,False,False,False,False,False,True,False,False
FDG02,0.19648704971717773,0,0.027435413285017668,3,0.6720283329598163,OUT017,2007,2,1,1,2285.0256,False,False,True,False,False,False,False,False,False,False
NCZ18,0.1947008038106579,0,0.5967154947299301,9,0.946864664615719,OUT049,1999,1,0,1,5580.7356,False,False,False,False,False,False,False,False,False,True
FDC29,0.2283417683834475,1,0.07257139111912643,5,0.35113820806932483,OUT046,1997,2,0,1,2290.352,False,False,False,False,False,False,False,False,True,False
FDQ10,0.493896993152724,0,0.10385975789438906,13,0.598697614245258,OUT049,1999,1,0,1,1207.0954,False,False,False,False,False,False,False,False,False,True
FDN48,0.5236677582613873,0,0.3713898768608133,0,0.2491120482991396,OUT019,1985,2,0,0,643.1628,False,False,False,False,True,False,False,False,False,False
FDL04,0.8600774039892825,0,0.36766111280648145,5,0.3127024631746226,OUT017,2007,2,1,1,1587.933,False,False,True,False,False,False,False,False,False,False
FDV25,0.08038106579339088,0,0.14225956455677913,3,0.811786497701173,OUT045,2002,2,1,1,5305.0944,False,False,False,False,False,False,False,True,False,False
FDD58,0.19083060434653165,0,0.19290046372483088,13,0.2995775862654416,OUT046,1997,2,0,1,1697.79,False,False,False,False,False,False,False,False,True,False
FDN04,0.43137838642453114,1,0.03716273135667445,5,0.6326205950464858,OUT046,1997,2,0,1,1427.4752,False,False,False,False,False,False,False,False,True,False
FDV45,0.7261089610002978,0,0.14504110413433538,13,0.664968862267316,OUT018,2009,1,2,2,4693.89,False,False,False,True,False,False,False,False,False,False
NCL18,0.8511461744566837,0,0.9048493260045597,9,0.6932288164945093,OUT019,1985,2,0,0,583.2408,False,False,False,False,True,False,False,False,False,False
FDR12,0.4790116105983923,1,0.09747276081842743,0,0.5945982655230256,OUT027,1985,1,2,3,3091.9752,False,False,False,False,False,True,False,False,False,False
FDG20,0.6516820482286394,1,0.4117594173008342,6,0.6184795822042934,OUT017,2007,2,1,1,2479.4392,False,False,True,False,False,False,False,False,False,False
FDZ55,0.08931229532598983,0,0.07674127068457064,6,0.5505215655114806,OUT035,2004,2,1,1,2716.464,False,False,False,False,False,False,True,False,False,False
FDQ49,0.9315272402500745,1,0.12391544112458741,2,0.5291759197006431,OUT027,1985,1,2,3,3285.723,False,False,False,False,False,True,False,False,False,False
FDN33,0.10419767788032147,1,0.40134950804260533,13,0.2731495629851477,OUT046,1997,2,0,1,661.8052,False,False,False,False,False,False,False,False,True,False
FDN27,0.9702292348913368,0,0.1258587091151737,10,0.36498889635922827,OUT049,1999,1,0,1,1523.3504,False,False,False,False,False,False,False,False,False,True
FDW20,0.964275081869604,0,0.1285923365933164,6,0.3857538930654877,OUT010,1998,2,2,0,369.519,True,False,False,False,False,False,False,False,False,False
DRG27,0.2584102411431974,0,0.3442404408271131,4,0.03660381394780271,OUT049,1999,1,0,1,690.4346,False,False,False,False,False,False,False,False,False,True
DRI25,0.8958023221196785,0,0.10641090966284855,14,0.10132241984665433,OUT045,2002,2,1,1,1381.535,False,False,False,False,False,False,False,True,False,False
FDA44,0.9017564751414111,0,0.17217127344734767,6,0.11291672608982067,OUT035,2004,2,1,1,622.523,False,False,False,False,False,False,True,False,False,False
NCR17,0.3122953259898779,0,0.07317389115394475,8,0.3533945901160619,OUT035,2004,2,1,1,1274.3412,False,False,False,False,False,False,True,False,False,False
FDU04,0.2009526644834772,0,0.021752447168476737,5,0.37670629342134754,OUT019,1985,2,0,0,487.3656,False,False,False,False,True,False,False,False,False,False
FDF41,0.45221792200059546,0,0.4275074779551471,5,0.9115342039674292,OUT049,1999,1,0,1,1231.73,False,False,False,False,False,False,False,False,False,True
FDB56,0.24977671926168504,1,0.2439099105560053,6,0.6628466067681275,OUT035,2004,2,1,1,3755.112,False,False,False,False,False,False,True,False,False,False
NCP18,0.45221792200059546,0,0.08735369153826945,9,0.5037419608961691,OUT027,1985,1,2,3,4363.6532,False,False,False,False,False,True,False,False,False,False
FDB56,0.24977671926168504,1,0.2439567406136834,6,0.6645444111674783,OUT046,1997,2,0,1,1314.2892,False,False,False,False,False,False,False,False,True,False
FDT28,0.520690681750521,0,0.20749085485014956,5,0.5084109229943836,OUT045,2002,2,1,1,1805.6496,False,False,False,False,False,False,False,True,False,False
FDD10,0.9553438523370053,1,0.14697479409149364,13,0.6249804752494075,OUT027,1985,1,2,3,2854.9504,False,False,False,False,False,True,False,False,False,False
FDW57,0.22357844596606136,1,0.37822599174057786,13,0.627393055300885,OUT049,1999,1,0,1,3896.2616,False,False,False,False,False,False,False,False,False,True
DRB48,0.7261089610002978,1,0.07475447156925362,14,0.03180072530203942,OUT013,1987,0,2,1,667.7974,False,True,False,False,False,False,False,False,False,False
FDP09,0.9047335516522774,0,0.10660996916488949,13,0.7674084374087431,OUT018,2009,1,2,2,3185.853,False,False,False,True,False,False,False,False,False,False
FDH14,0.7469484965763622,1,0.15028714530069207,3,0.46644544275343125,OUT013,1987,0,2,1,2247.7408,False,True,False,False,False,False,False,False,False,False
FDA47,0.35397439714200657,1,0.3805247399191091,0,0.559558129427025,OUT013,1987,0,2,1,1794.331,False,True,False,False,False,False,False,False,False,False
FDG12,0.12384638285203925,1,0.004792108522876097,0,0.3820900311716887,OUT045,2002,2,1,1,2530.7058,False,False,False,False,False,False,False,True,False,False
DRE60,0.28818100625186066,0,0.8647998079312307,14,0.8237831835869854,OUT019,1985,2,0,0,679.116,False,False,False,False,True,False,False,False,False,False
DRK49,0.5713009824352486,0,0.11310844662951738,14,0.042970580445368056,OUT013,1987,0,2,1,812.276,False,True,False,False,False,False,False,False,False,False
FDD03,0.520690681750521,0,0.26110306302719205,4,0.8541653933133672,OUT046,1997,2,0,1,699.09,False,False,False,False,False,False,False,False,True,False
FDS52,0.2581125334921108,0,0.006854696100247406,5,0.3018339683121787,OUT017,2007,2,1,1,2732.4432,False,False,True,False,False,False,False,False,False,False
FDW39,0.1271211670139923,1,0.21060843984466474,10,0.6182002933806002,OUT019,1985,2,0,0,176.437,False,False,False,False,True,False,False,False,False,False
FDX34,0.09764810955641562,0,0.23401920910390137,13,0.38378783557103957,OUT027,1985,1,2,3,4097.3332,False,False,False,False,False,True,False,False,False,False
FDV11,0.27061625483774926,1,0.2564325971236318,1,0.602361476139057,OUT045,2002,2,1,1,3151.8972,False,False,False,False,False,False,False,True,False,False
FDD17,0.1753498064900268,0,0.1019500176572441,5,0.8820119321693187,OUT049,1999,1,0,1,5942.265,False,False,False,False,False,False,False,False,False,True
FDZ16,0.7320631140220304,1,0.5189252782950942,5,0.6840360545742247,OUT017,2007,2,1,1,4843.695,False,False,True,False,False,False,False,False,False,False
FDZ46,0.1744566835367669,0,0.2256019770566697,13,0.3299377245346319,OUT035,2004,2,1,1,2542.0244,False,False,False,False,False,False,True,False,False,False
DRA12,0.41947008038106576,0,0.13118386442347027,14,0.4627595094024408,OUT017,2007,2,1,1,2552.6772,False,False,True,False,False,False,False,False,False,False
FDY58,0.4224471568919321,0,0.12742670159941172,13,0.8309878165556304,OUT018,2009,1,2,2,1141.847,False,False,False,True,False,False,False,False,False,False
NCF19,0.5028282226853229,0,0.11101990059928929,9,0.06881795462108403,OUT017,2007,2,1,1,680.4476,False,False,True,False,False,False,False,False,False,False
DRJ13,0.48198868710925874,0,0.20521950676823691,14,0.54231183233842,OUT045,2002,2,1,1,2085.9514,False,False,False,False,False,False,False,True,False,False
FDB14,0.9345043167609408,1,0.5531066019575217,3,0.2598574523426306,OUT010,1998,2,2,0,186.424,True,False,False,False,False,False,False,False,False,False
FDJ38,0.24084548972908598,1,0.1278269653241671,3,0.6742957507351492,OUT035,2004,2,1,1,3036.048,False,False,False,False,False,False,True,False,False,False
FDW11,0.4790116105983923,0,0.15807523750865196,1,0.1334024339723869,OUT017,2007,2,1,1,866.8716,False,False,True,False,False,False,False,False,False,False
FDL40,0.782673414706758,0,0.028444165715567515,5,0.27059182065752574,OUT035,2004,2,1,1,868.869,False,False,False,False,False,False,True,False,False,False
DRI49,0.5713009824352486,0,0.5881381860897372,14,0.21705410563059854,OUT046,1997,2,0,1,1137.1864,False,False,False,False,False,False,False,False,True,False
FDV38,0.8749627865436143,0,0.33479129868526747,4,0.09128075572669425,OUT017,2007,2,1,1,928.1252,False,False,True,False,False,False,False,False,False,False
DRG23,0.25751711818993755,0,0.28382848274451755,7,0.5113710449646518,OUT013,1987,0,2,1,762.341,False,True,False,False,False,False,False,False,False,False
NCP30,0.9493896993152724,0,0.10249379242152415,9,0.03816749179960477,OUT045,2002,2,1,1,707.0796,False,False,False,False,False,False,False,True,False,False
FDY25,0.4432866924679964,0,0.10585802788685336,3,0.6337377503412587,OUT027,1985,1,2,3,7968.2944,False,False,False,False,False,True,False,False,False,False
NCH54,0.5325989877939863,0,0.23745258882367953,9,0.5475504078126168,OUT046,1997,2,0,1,1438.128,False,False,False,False,False,False,False,False,True,False
NCR53,0.45221792200059546,0,0.4681111871237446,8,0.8198289971408975,OUT027,1985,1,2,3,6976.2524,False,False,False,False,False,True,False,False,False,False
FDS52,0.2581125334921108,0,0.01980443317762288,5,0.2988628106133149,OUT010,1998,2,2,0,101.2016,True,False,False,False,False,False,False,False,False,False
FDG02,0.19648704971717773,0,0.027372558232239406,3,0.6673593708616018,OUT018,2009,1,2,2,952.094,False,False,False,True,False,False,False,False,False,False
NCO26,0.15957130098243527,0,0.2513444968489733,9,0.3597613566136273,OUT046,1997,2,0,1,1969.4364,False,False,False,False,False,False,False,False,True,False
FDH35,0.8154212563262877,0,0.19493540023076344,15,0.5694546312708405,OUT027,1985,1,2,3,5262.4832,False,False,False,False,False,True,False,False,False,False
FDB51,0.14081571896397738,0,0.12211092884173322,4,0.12434379859965097,OUT045,2002,2,1,1,1314.2892,False,False,False,False,False,False,False,True,False,False
FDX44,0.28252456088121464,0,0.13813752654901923,6,0.2526638551025814,OUT017,2007,2,1,1,535.3032,False,False,True,False,False,False,False,False,False,False
NCN07,0.8303066388806193,0,0.184353483845169,11,0.4280096978587291,OUT010,1998,2,2,0,263.6568,True,False,False,False,False,False,False,False,False,False
NCC31,0.20631140220303656,0,0.057430846209743404,9,0.5233787665790599,OUT035,2004,2,1,1,1402.1748,False,False,False,False,False,False,True,False,False,False
NCX54,0.2762727002083954,0,0.1556052940895134,9,0.31355136537429795,OUT017,2007,2,1,1,1693.7952,False,False,True,False,False,False,False,False,False,False
NCO55,0.4909199166418577,0,0.29860802697548333,11,0.31538329632119744,OUT045,2002,2,1,1,2143.876,False,False,False,False,False,False,False,True,False,False
NCC30,0.7171777314676988,0,0.0844477140839175,9,0.6211604153508683,OUT049,1999,1,0,1,2676.516,False,False,False,False,False,False,False,False,False,True
FDI16,0.5623697529026497,1,0.4597080737739774,5,0.09241998247865862,OUT035,2004,2,1,1,905.488,False,False,False,False,False,False,True,False,False,False
FDP16,0.8362607919023519,0,0.12493903922439203,5,0.9129527195430869,OUT049,1999,1,0,1,7370.406,False,False,False,False,False,False,False,False,False,True
FDB11,0.6814528133373028,0,0.1978938381181433,15,0.830015823537002,OUT035,2004,2,1,1,6301.1312,False,False,False,False,False,False,True,False,False,False
NCB06,0.7767192616850254,0,0.26938414272286026,8,0.5492482122119675,OUT035,2004,2,1,1,1597.92,False,False,False,False,False,False,True,False,False,False
FDA45,0.9940458469782674,0,0.5022654311191166,13,0.6237181576784901,OUT035,2004,2,1,1,529.311,False,False,False,False,False,False,True,False,False,False
NCO26,0.15957130098243527,0,0.2512963661021315,9,0.3661281231111926,OUT035,2004,2,1,1,1969.4364,False,False,False,False,False,False,True,False,False,False
DRJ25,0.5980946710330455,0,0.49011018559741665,14,0.08098187424023254,OUT017,2007,2,1,1,1034.6532,False,False,True,False,False,False,False,False,False,False
FDR28,0.5534385233700505,1,0.07882076682814597,5,0.5527669118296219,OUT018,2009,1,2,2,1794.331,False,False,False,True,False,False,False,False,False,False
FDI04,0.5415302173265852,1,0.23924857674322497,5,0.7060854403085929,OUT018,2009,1,2,2,2768.3964,False,False,False,True,False,False,False,False,False,False
DRK12,0.2944328669246799,0,0.1329165570010403,14,0.0,OUT027,1985,1,2,3,898.83,False,False,False,False,False,True,False,False,False,False
FDX20,0.16731169991068773,0,0.13591702895952254,6,0.8271787923856868,OUT046,1997,2,0,1,3169.208,False,False,False,False,False,False,False,False,True,False
NCI18,0.8213754093480203,0,0.03714197870880005,9,0.8161540995185027,OUT018,2009,1,2,2,3589.9936,False,False,False,True,False,False,False,False,False,False
FDB36,0.054182792497767196,1,0.09386958726956862,0,0.4298526645342243,OUT018,2009,1,2,2,262.3252,False,False,False,True,False,False,False,False,False,False
FDN13,0.8362607919023519,0,0.4947506892518892,2,0.2909434019925433,OUT017,2007,2,1,1,1910.1802,False,False,True,False,False,False,False,False,False,False
DRD24,0.5534385233700505,0,0.09604519100202577,14,0.46530621600146693,OUT017,2007,2,1,1,1701.7848,False,False,True,False,False,False,False,False,False,False
FDQ28,0.5623697529026497,1,0.196347916792204,5,0.5232446400315113,OUT013,1987,0,2,1,2471.4496,False,True,False,False,False,False,False,False,False,False
FDM22,0.5623697529026497,1,0.1337359723851574,13,0.09963565117589934,OUT013,1987,0,2,1,1331.6,False,True,False,False,False,False,False,False,False,False
FDR07,1.0,0,0.25303908450853996,6,0.27894671610673083,OUT027,1985,1,2,3,1808.9786,False,False,False,False,False,True,False,False,False,False
FDV25,0.08038106579339088,0,0.14711250031951986,3,0.811786497701173,OUT018,2009,1,2,2,3315.684,False,False,False,True,False,False,False,False,False,False
DRF49,0.16165525454004165,0,0.23215841743276272,14,0.3521322725451447,OUT046,1997,2,0,1,2618.5914,False,False,False,False,False,False,False,False,True,False
FDW51,0.09526644834772252,1,0.3098264927304365,10,0.7778745526285409,OUT046,1997,2,0,1,2769.728,False,False,False,False,False,False,False,False,True,False
DRL01,0.8898481690979458,1,0.25383810743950236,14,0.8582647420355997,OUT017,2007,2,1,1,5375.0034,False,False,True,False,False,False,False,False,False,False
FDP25,0.6338195891634415,0,0.06253530923638838,3,0.7877489830151648,OUT017,2007,2,1,1,2838.9712,False,False,True,False,False,False,False,False,False,False
FDL50,0.45221792200059546,1,0.13566112067763023,3,0.39777265040849175,OUT018,2009,1,2,2,1743.0644,False,False,False,True,False,False,False,False,False,False
NCB30,0.5980946710330455,0,0.07734857143365183,9,0.7110336912305008,OUT027,1985,1,2,3,5555.4352,False,False,False,False,False,True,False,False,False,False
FDW11,0.4790116105983923,0,0.15781273442627947,1,0.13000682517368542,OUT018,2009,1,2,2,619.194,False,False,False,True,False,False,False,False,False,False
NCM43,0.5921405180113128,0,0.056049258787843524,11,0.5667737981242658,OUT035,2004,2,1,1,2120.573,False,False,False,False,False,False,True,False,False,False
FDK44,0.7171777314676988,0,0.400724180419771,6,0.6018028984916706,OUT017,2007,2,1,1,3823.0236,False,False,True,False,False,False,False,False,False,False
FDM15,0.43137838642453114,1,0.1862337606805978,10,0.5099635651175899,OUT013,1987,0,2,1,1360.2294,False,True,False,False,False,False,False,False,False,False
FDS31,0.5087823757070555,1,0.1413701264225382,6,0.6262427928203247,OUT013,1987,0,2,1,3969.4996,False,True,False,False,False,False,False,False,False,False
FDI32,0.782673414706758,0,0.9005664508648032,6,0.3560864589912326,OUT010,1998,2,2,0,345.5502,True,False,False,False,False,False,False,False,False,False
FDR47,0.791604644239357,0,0.27938128908253795,1,0.7015726762151187,OUT010,1998,2,2,0,585.2382,True,False,False,False,False,False,False,False,False,False
FDB35,0.4611491515331944,1,0.21102608446569543,15,0.2605722279947572,OUT045,2002,2,1,1,1010.6844,False,False,False,False,False,False,False,True,False,False
NCU05,0.43137838642453114,0,0.3217064615620029,8,0.2129547569083661,OUT010,1998,2,2,0,161.1236,True,False,False,False,False,False,False,False,False,False
DRY23,0.28818100625186066,1,0.6106861414225576,14,0.0459307024156361,OUT019,1985,2,0,0,42.6112,False,False,False,False,True,False,False,False,False,False
FDO24,0.3896993152724025,0,0.5671813141172837,0,0.5355316504696127,OUT045,2002,2,1,1,3010.7476,False,False,False,False,False,False,False,True,False,False
