URL,区域,房源维护时间,房源编号,租赁方式,房屋类型,房屋类型厅室,房屋类型面积,房屋类型精装修,经纪人,面积,朝向,维护,入住,楼层,电梯,车位,用水,用电,燃气,采暖,租期,看房,付款方式,租金,押金,服务费,中介费
https://bj.lianjia.com/zufang/BJ2499094333115080704.html,朝阳 潘家园 弘善家园,2020-04-22,BJ2499094333115080704,整租,1室0厅1卫 43㎡,1室0厅1卫,43㎡,#,谢佳佳,43㎡,南,今天,随时入住,高楼层/28层,有,暂无数据,民水,民电,有,自采暖,2年以内,需提前预约,季付,4600,4600,0,4600,
https://bj.lianjia.com/zufang/BJ2500031834801307648.html,石景山 苹果园 铸造村,2020-04-22,BJ2500031834801307648,整租,1室1厅1卫 69㎡,1室1厅1卫,69㎡,#,王欢,69㎡,南,今天,随时入住,低楼层/16层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,3700,3700,0,3700,
https://bj.lianjia.com/zufang/BJ2500474519857135616.html,朝阳 定福庄 金星小区,2020-04-15,BJ2500474519857135616,整租,2室1厅1卫 52㎡ 精装修,2室1厅1卫,52㎡,精装修,江雪,52㎡,南 北,7天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,4900,4900,0,4900,
https://bj.lianjia.com/zufang/BJ2497010471907885056.html,朝阳 定福庄 金星小区,2020-04-10,BJ2497010471907885056,整租,2室1厅1卫 57㎡,2室1厅1卫,57㎡,#,韩璐瑶,57㎡,南 北,12天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4800,4800,0,4800,
https://bj.lianjia.com/zufang/BJ2497131489230602240.html,东城 安定门 青年湖东里,2020-04-14,BJ2497131489230602240,整租,1室1厅1卫 62㎡,1室1厅1卫,62㎡,#,侯锐,62㎡,南,8天前,随时入住,地下室/6层,无,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,需咨询,4600,4600,0,4600,
https://bj.lianjia.com/zufang/BJ2497018954820886528.html,东城 安定门 安德路55号院,2020-04-12,BJ2497018954820886528,整租,1室1厅1卫 64㎡ 精装修,1室1厅1卫,64㎡,精装修,孟岩,64㎡,北,10天前,随时入住,高楼层/4层,无,暂无数据,暂无数据,暂无数据,有,集中供暖,1年以内,需提前预约,需咨询,5000,5000,0,5000,
https://bj.lianjia.com/zufang/BJ2496190021745786880.html,朝阳 双桥 金隅康惠园3号院,2020-04-10,BJ2496190021745786880,整租,2室1厅1卫 80㎡,2室1厅1卫,80㎡,#,邱雪敬,80㎡,南 北,12天前,随时入住,中楼层/20层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,需咨询,5000,5000,0,5000,
https://bj.lianjia.com/zufang/BJ2497137590122323968.html,朝阳 潘家园 华威西里,2020-04-12,BJ2497137590122323968,整租,1室1厅1卫 36㎡,1室1厅1卫,36㎡,#,段帅奇,36㎡,南,10天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,只能周末看房,需咨询,5000,5000,0,5000,
https://bj.lianjia.com/zufang/BJ2496221539742261248.html,房山 良乡 房山超级蜂巢,2020-04-15,BJ2496221539742261248,整租,2房间1卫 40㎡,2房间1卫,40㎡,#,周祎平,40㎡,南,7天前,随时入住,低楼层/10层,有,暂无数据,商水,商电,无,集中供暖,暂无数据,需提前预约,需咨询,2300,2300,0,2300,
https://bj.lianjia.com/zufang/BJ2497038083917627392.html,海淀 海淀北部新区 北分厂,2020-04-15,BJ2497038083917627392,整租,2室1厅1卫 54㎡,2室1厅1卫,54㎡,#,赵长鹏,54㎡,南 北,7天前,2020-04-30,低楼层/6层,无,暂无数据,民水,民电,无,集中供暖,1年以内,需提前预约,需咨询,4300,4300,0,4300,
https://bj.lianjia.com/zufang/BJ2496310725199806464.html,西城 牛街 平原里小区,2020-04-18,BJ2496310725199806464,整租,1室1厅1卫 54㎡,1室1厅1卫,54㎡,#,逯志峰,54㎡,南 北,4天前,随时入住,地下室/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4800,4800,0,4800,
